strategy_id,scenario_id,year,period,units,revenue,variable_cost,fixed_cost,lost_mechanical_units,cannibalization_loss,brand_loss,operating_cash,discounted_cash,cannibalization_pct,brand_haircut
1,1,2027,1,635,982980.0,565785.0,1500000,57.150000000000006,222885.00000000006,872485.0874999999,-2178175.0875,-1944799.1852678568,0.0057150000000000005,0.0225
1,1,2028,2,1058,1637784.0,942678.0000000001,1500000,95.22,371358.0,869144.4450000002,-2045396.4450000003,-1630577.5231186224,0.009522,0.0225
1,1,2029,3,1376,2130048.0,1226016.0,1500000,123.84,482976.0,866633.04,-1945577.04,-1384823.3076712824,0.012384000000000001,0.0225
1,2,2027,1,907,1404036.0,734670,1500000,54.419999999999995,212237.99999999997,581816.4299999999,-1624688.43,-1450614.669642857,0.005442,0.015
1,2,2028,2,1512,2340576.0,1224720,1500000,90.72,353808.0,579692.8800000001,-1317644.8800000001,-1050418.431122449,0.009072,0.015
1,2,2029,3,1966,3043368.0,1592460,1500000,117.96,460044.0,578099.3400000001,-1087235.34,-773872.6397366981,0.011796,0.015
1,3,2027,1,1089,1685772.0,837985.5,1500000,49.005,191119.5,436599.90562500013,-1279932.9056250001,-1142797.2371651786,0.0049005,0.01125
1,3,2028,2,1814,2808072.0,1395873.0,1500000,81.63,318357.0,435168.48375000013,-841326.4837500001,-670700.321867028,0.008163,0.01125
1,3,2029,3,2359,3651732.0,1815250.5,1500000,106.155,414004.5,434092.44937499997,-511615.44937499997,-364157.77134130703,0.0106155,0.01125
2,1,2027,1,3209,2682724.0,1764950.0000000002,1800000,57.762,225271.80000000002,116324.1846,-1223821.9846000003,-1092698.2005357144,0.0057762,0.003
2,1,2028,2,5348,4470928.0,2941400.0000000005,1800000,96.26400000000001,375429.6000000001,115873.71120000002,-761775.3112000006,-607282.6141581637,0.0096264,0.003
2,1,2029,3,6952,5811872.0,3823600.0000000005,1800000,125.13600000000001,488030.4000000001,115535.9088,-415294.3088000006,-295598.2860331636,0.012513600000000001,0.003
2,2,2027,1,4584,3832224.0,2292000,1800000,55.008,214531.2,77570.9376,-551878.1376,-492748.3371428571,0.0055008,0.002
2,2,2028,2,7640,6387040.0,3820000,1800000,91.68,357552.0,77284.89600000001,332203.104,264830.28061224485,0.009168,0.002
2,2,2029,3,9932,8303152.0,4966000,1800000,119.184,464817.60000000003,77070.36480000001,995264.0351999999,708409.2816144312,0.0119184,0.002
2,3,2027,1,5501,4598836.0,2612975.0,1800000,49.509,193085.1,58210.37234999999,-65434.47235,-58423.63602678571,0.0049509,0.0015
2,3,2028,2,9168,7664448.0,4354800.0,1800000,82.512,321796.8,58017.3048,1129833.8952,900696.6639030611,0.0082512,0.0015
2,3,2029,3,11918,9963448.0,5661050.0,1800000,107.262,418321.8,57872.51729999999,2026203.6827,1442211.7593926517,0.0107262,0.0015
3,1,2027,1,1455,1418625.0,880275.0000000001,1100000,48.015,187258.5,349314.6735,-1098223.1735,-980556.4049107142,0.0048015,0.009000000000000001
3,1,2028,2,2426,2365350.0,1467730.0000000002,1100000,80.05799999999999,312226.19999999995,348189.9642,-862796.1642000002,-687815.819674745,0.008005799999999999,0.009000000000000001
3,1,2029,3,3153,3074175.0,1907565.0000000002,1100000,104.049,405791.10000000003,347347.88009999995,-686528.9801000003,-488657.76758666645,0.0104049,0.009000000000000001
3,2,2027,1,2079,2027025.0,1143450,1100000,45.738,178378.2,232929.73080000002,-627732.9308,-560475.8310714285,0.0045738,0.006
3,2,2028,2,3465,3378375.0,1905750,1100000,76.22999999999999,297297.0,232216.218,-156888.218,-125070.32684948978,0.007622999999999999,0.006
3,2,2029,3,4505,4392375.0,2477750,1100000,99.11,386529.0,231680.826,196415.174,139804.4412240342,0.009911,0.006
3,3,2027,1,2495,2432625.0,1303637.5,1100000,41.1675,160553.25,174777.510375,-306343.260375,-273520.76819196425,0.00411675,0.0045000000000000005
3,3,2028,2,4158,4054050.0,2172555.0,1100000,68.607,267567.3,174295.94715000002,339631.75285,270752.3539939413,0.0068607,0.0045000000000000005
3,3,2029,3,5405,5269875.0,2824112.5,1100000,89.1825,347811.75,173934.847125,824015.902875,586518.243550559,0.00891825,0.0045000000000000005
4,1,2027,1,4788,383040.0,42134.4,350000,251.37,980343.0,684353.826,-1673791.226,-1494456.4517857141,0.025137,0.018000000000000002
4,1,2028,2,7980,638400.0,70224.0,350000,418.95000000000005,1633905.0000000005,672589.71,-2088318.7100000004,-1664794.889987245,0.041895,0.018000000000000002
